stockid,year,Q1Rev,Q2Rev,Q3Rev,Q4Rev,Q1Grate,Q2Grate,Q3Grate,Q4Grate
1308,2002,308888,309361,323617,349688,-4,3.6300001,14.63,-0.64999998
1309,2002,597518,557473,680317,751405,8.7200003,-34.48,28.57,24.860001
1310,2002,859065,902537,1027427,1035292,30.389999,-26.889999,33.34,-1.74
1311,2002,942249,932580,945703,1103668,33.169998,5.0900002,9.3699999,14.24
1312,2002,985754,982616,1246769,1294819,22.17,-11.19,72.239998,-5.5
1313,2002,384296,472755,528646,515113,10.15,12.46,27.129999,7.5999999
1314,2002,1425951,1736053,2091454,2184629,-12.31,0.89999998,31.33,6.75
1315,2002,304203,391121,422465,302765,-14.68,0,13.34,-28.16
1316,2002,84111,158237,100494,73891,1.65,25.469999,-10.17,-4.2800002
1319,2002,665107,703717,685772,761325,2.8,-12.61,4.9099998,11.36
1321,2002,488819,537517,492727,503852,3.45,-7.0999999,8.1099997,15.16
1323,2002,104585,120028,127661,123537,7.4499998,10.27,15.84,0.28
1324,2002,115521,132543,132326,149780,-10.34,-9.2299995,2.71,6.5300002
1325,2002,35407,35781,37163,45791,23.59,-18.299999,3.9200001,2.46
1326,2002,8771878,10370081,12110980,12183587,4.0100002,3.6199999,14.43,-4.1399999
1402,2002,3672142,4080746,4021028,4379427,-0.91000003,-3.9100001,8.0699997,10.76
1407,2002,1747374,1930053,1447020,1724146,30.129999,8.7700005,-12.83,23.120001
1408,2002,1094192,1137690,1222367,1215344,27.42,-6.0999999,6.6900001,7.9899998
1409,2002,1866791,1908953,1845446,1900859,9.5200005,-11.58,-6.9200001,-3.53
1410,2002,39521,55310,57455,50938,-0.5,10.5,28.18,26.719999
1413,2002,410325,482645,440482,452048,32.560001,9.1000004,-8.6199999,-4.5500002
1414,2002,399018,409200,448215,419714,-5.7399998,-9.75,26.309999,0.99000001
1416,2002,393585,453711,451193,280193,-11.37,-26.09,19.66,-48.740002
1417,2002,163825,187846,250563,233084,-40.25,-6.54,3.9100001,-30.76
1418,2002,216310,310060,264288,184438,-39.919998,0.12,6.6500001,8.9200001
1419,2002,65563,82739,76181,72262,-8.9399996,31.52,2.3099999,-3.29
1423,2002,341155,333752,254114,341019,27.620001,-10.95,-13.18,50.490002
1432,2002,115121,193562,155635,155389,-7.52,25.52,-18.24,-3.6300001
1434,2002,2052488,2431460,2313783,2430322,1.52,-0.62,-5.8899999,4.1799998
1435,2002,89768,107817,87126,95906,12.13,-8.1499996,-12.68,-12.02
1436,2002,4938,5388,28,429081,-99.739998,127.43,-98.739998,0
1437,2002,96962,104963,133336,148720,-20.190001,-21.68,2.6400001,-13.06
1438,2002,114453,75379,65091,49910,11.84,-78.07,-41.009998,8.7299995
1439,2002,168066,186028,147936,162259,31.23,-11.34,-10.58,10.98
1440,2002,1224680,1336922,1346841,1543093,15.92,6.3899999,2.72,16.280001
1441,2002,205988,219222,185796,206885,-11.54,-15.25,9.2200003,24.65
1442,2002,35566,37059,19252,16073,-26.6,54.549999,-28.18,16.84
1443,2002,75431,105462,90718,108355,-4.4699998,9.4200001,-26.17,21.790001
1444,2002,629812,826917,718496,936697,8.5799999,22.030001,9.1499996,29.67
1445,2002,236355,275529,267775,284451,2.1600001,15.14,4.0599999,1.92
1446,2002,456717,509676,443074,441216,19.92,-8.0600004,-17.639999,-3.3199999
1447,2002,967410,1138599,957329,920830,19.549999,7.4200001,-4.8299999,-2.1500001
1449,2002,460830,709064,599034,730757,-11.76,12.44,-13.66,32.040001
1450,2002,97045,146374,135507,124891,-31.030001,20.59,17.870001,-18.030001
1451,2002,752480,759982,735735,684815,14.09,1.0700001,-8.46,7.3499999
1452,2002,205486,236309,218342,207089,0.2,0.72000003,2.3399999,6.73
1453,2002,280227,259917,236392,229383,-14.47,-26.65,-15.11,-34.91
1454,2002,261396,320447,345783,290069,-18.92,6.5900002,10.75,-3.24
1455,2002,780762,785088,741606,806050,18.370001,-2.78,-11.09,25.469999
1456,2002,398970,465687,452604,427045,-5.7800002,-4.9000001,1.45,0.81999999
1457,2002,412025,483050,496243,477702,-7.8499999,1.8099999,4.7399998,-3.0599999
1458,2002,636716,684591,519702,509575,60.189999,4.6300001,-3.3,-5.0500002
1459,2002,324566,371057,342898,374818,8.4499998,15.4,-9.21,24.92
1460,2002,573907,770767,686258,608705,1.86,9.3299999,-13.21,-8.1499996
1462,2002,1209635,1501022,2248661,1522555,20.120001,33.610001,1.25,-64.150002
1463,2002,109023,137391,126310,135199,-13.99,-6.9000001,-1.24,11.99
1464,2002,312527,403436,325733,426475,-7.96,15.87,-19.92,41.400002
1465,2002,216295,150633,155744,164770,59.310001,-20.17,15.28,12.5
1466,2002,202055,242499,234129,239140,-7.9499998,-2.73,-5.5700002,2.9100001
1467,2002,236717,317243,438605,356541,-3.1700001,1.33,17.66,-49.98
1468,2002,98676,155846,136462,176792,-35.240002,-3.53,-6.0599999,11.54
1469,2002,70861,162441,124958,50700,11.63,21.76,-5.79,12.77
1470,2002,92536,116833,101126,93603,19.030001,2.25,2.22,13.98
1471,2002,203650,215723,247073,268206,5.9299998,0.55000001,17.9,22.02
1472,2002,120659,167144,172019,161382,19.280001,9.1099997,1.23,-8.2299995
1473,2002,605689,475540,462517,565570,19.74,-11.21,-2.27,31.58
1474,2002,404636,454929,354338,433850,5.71,-3.0599999,-15.28,13.92
1475,2002,90821,111491,119363,119840,-31.98,-6.75,14.55,7.3899999
1476,2002,311189,477332,439424,433741,-17.15,10.08,-1.14,22.200001
1477,2002,668133,532505,1022446,798791,32.91,-13.9,68.290001,-30.450001
1503,2002,1264346,1351884,1296560,1509545,0.64999998,5.2600002,2.97,-3.0899999
1504,2002,1983325,2524927,2132995,1998598,9.4799995,18.58,4.8800001,1.04
1506,2002,96752,98437,97947,100422,20.049999,-7.3299999,8.5900002,10.47
1507,2002,354723,371222,361504,387323,-39.18,-5.79,-3.6600001,5.4099998
1512,2002,269037,333819,313633,426285,-28.25,20.209999,-6.1700001,-1.89
1513,2002,979071,1040343,985641,1152031,1.65,-1.39,-23.809999,-30.82
1514,2002,253310,313361,301097,366308,-39.27,-3.9100001,-19.360001,5.9000001
1515,2002,453391,510644,623971,738210,-30.719999,5.6599998,8.0900002,21.370001
1516,2002,71834,52904,43743,44043,9.4899998,-21.370001,-18.58,3.02
1517,2002,210154,174608,176017,191182,-2.8099999,-1.75,9.8999996,-21.9
1519,2002,256363,353068,419841,422389,-61.73,-47.470001,-6.1799998,23.799999
1520,2002,907922,984016,967336,1184784,5.8600001,7.0700002,3.9100001,14.38
1521,2002,265366,314914,321001,336720,13.48,0.94999999,1.1,-0.72000003
1522,2002,610535,799952,623760,770526,8.0900002,17.059999,-20.879999,17.209999
1523,2002,411677,444351,402374,475049,2.9200001,-0.58999997,-5.98,17.07
1524,2002,208904,207407,191750,206355,8.3699999,-2.1500001,-0.38,6.1500001
1525,2002,107622,129405,123806,135173,19.73,0.38,18.049999,12.09
1526,2002,71387,88372,80207,45053,-10.24,-7.0100002,-29.98,-46.25
1527,2002,295712,283370,289950,210259,117.22,-20.379999,-6.29,-35.18
1528,2002,219896,300601,302353,329211,-18.41,-7.5,2.4000001,-8.8900003
1529,2002,114791,155448,112815,154743,-53.029999,-9.4200001,-61.310001,21.469999
1530,2002,54864,92751,87460,112059,-14.38,53.009998,-21.07,51.619999
1531,2002,262041,397174,360689,330940,50.349998,2.47,-1.22,20.1
1532,2002,206650,229746,563302,526275,64.269997,-9.2299995,159.31,-21.02
1533,2002,243433,332259,290666,248160,-32.18,15.57,-15.36,-10.87
1534,2002,105321,118008,144381,150416,-77.790001,-67.300003,-40.580002,-34.27
1535,2002,149856,241042,220729,290935,-27.01,4.9000001,-30.74,16.120001
1536,2002,74890,90043,103539,122287,10.31,-0.76999998,5.48,6.8899999
1537,2002,147667,169460,165644,181716,0,13.36,-4.3099999,12.53
1538,2002,358956,429670,453269,364913,-14.75,-4.29,17.389999,-31.85
1539,2002,132586,138007,171557,160447,4.71,-14.6,-16.559999,3.3399999
1540,2002,93431,88413,69202,86379,-60.099998,-27.41,13.71,-15.38
1601,2002,306869,261419,270989,294702,12.09,-11.21,41.080002,19.790001
1602,2002,1523685,1670746,1854507,1658741,4.3400002,2.78,10.6,-7.5
1603,2002,418882,387600,322894,296553,61.09,-25.969999,-1.15,38.130001
1604,2002,1621676,1835437,1380533,1746752,44.240002,1.16,-26.790001,32.279999
1605,2002,2184690,2502434,2499838,2517195,-11.65,-22.75,3.8699999,2.0699999
1606,2002,545804,553328,365332,401548,26.610001,-0.92000002,-32.830002,-9.46
1608,2002,630236,809431,764590,792369,-19.940001,5.25,-24.559999,23.52
1609,2002,478597,664868,713501,686952,-45.950001,-4.5799999,-14.8,-9.6899996
1611,2002,400405,307335,323350,381881,-4.0100002,-16.940001,23.84,23.299999
1612,2002,234315,372433,499853,519725,-40.73,5.3400002,6.5,-19.48
1613,2002,167934,271994,210085,208248,-26.530001,8.4399996,-8.1400003,30.459999
1614,2002,870707,1116322,947708,818217,81.459999,39.25,-0.03,7.1399999
1615,2002,170707,169213,246777,161483,-21.33,-10.01,78.370003,-13.42
1616,2002,171537,208675,286284,289391,-8.6899996,-17.51,51.619999,-5.98
1617,2002,366234,451359,430876,418356,4.1500001,7.5700002,9.3400002,12.28
1618,2002,209912,232133,244666,220174,-60.860001,-29.35,8.6700001,10.09
1701,2002,320387,298384,295554,294984,2.03,-16.040001,14.68,17.83
1702,2002,161110,166258,176201,175151,-1.33,-2.3800001,9.1899996,5.5999999
1704,2002,1024350,975906,965664,1017745,20.969999,-18.01,-8.2799997,9.1599998
1707,2002,120430,145599,133904,146559,-30.92,13.22,-3.71,2.3399999
1708,2002,185929,171656,151912,161121,40.669998,-8.0500002,18.92,1.3
1709,2002,414050,427341,392851,419097,-23.719999,-55.799999,-15.95,-30.76
1710,2002,572632,696807,804402,835220,18.91,9.5699997,-12.57,-8.1499996
1711,2002,451770,591389,482954,490869,8.75,8.3400002,-5.8600001,7.73
1712,2002,785364,914375,969660,812100,-7.48,5.0799999,4.5599999,-17.809999
1713,2002,92584,105730,89715,99883,7.5599999,-0.81,-8.29,14.24
1714,2002,876250,1143677,1058007,1080959,-20.299999,23.98,-26.709999,-5.0599999
1715,2002,378137,456747,416030,446982,-26.24,-8.5299997,-6.8000002,3.1700001
1716,2002,301719,315290,275526,290397,42.630001,9.6000004,6.7600002,10.33
1717,2002,1497875,1652965,1623510,1579800,12.66,-9.4799995,5.3000002,9.5500002
1718,2002,818017,970693,1310505,1139162,-16.83,15.41,54.060001,-13.09
1720,2002,153008,155651,160249,163389,4.4200001,-2.53,14.17,10.45
1721,2002,99829,109642,95535,103892,-1.9299999,-2.1900001,-13.54,12.21
1722,2002,970185,830450,998191,910987,-8.3400002,-33.52,17.33,-3.21
1723,2002,307706,326226,350829,366889,37.529999,-2.3399999,9.9399996,9.96
1724,2002,174471,239646,287123,253918,-35.369999,16.120001,28.559999,1.54
1725,2002,745458,804258,892090,981553,16.209999,-3.3,19.620001,15.7
1726,2002,616637,599934,618114,677999,17.629999,-7.4899998,30.280001,6.4200001
1727,2002,84172,93439,92642,103040,-6.1799998,-12.71,-0.25,14.84
1729,2002,212643,320857,317504,236390,17.049999,4.5500002,-7.1900001,-12.53
1730,2002,63642,47815,47197,60414,13.68,-17.040001,5.6900001,33.509998
1731,2002,370147,414049,399107,410342,7.1500001,11.95,-16.620001,-4.8200002
1732,2002,54075,51162,47582,60016,-7.46,-3.6700001,-11.07,4.98
1733,2002,88459,58311,45186,31398,1.26,-16.02,12.97,5.23
1734,2002,92774,103558,108676,108453,-8.1999998,12.39,11,-19.16
1735,2002,134007,179779,146933,186473,-8.5900002,4.1199999,-1.7,29.83
1802,2002,1502124,1668435,1398756,1469496,26.48,-0.95999998,-9.9899998,9.75
1805,2002,30917,12201,19192,9435,-10.23,-41.57,-66.669998,-53.799999
1806,2002,123992,155487,146610,156215,18.91,6.1500001,1.0700001,6.0799999
1807,2002,79547,80665,81255,84619,1.7,-13.25,15.22,-6.0100002
1808,2002,7021,2146,1690,4254,-97.5,-78.029999,32.830002,177.17999
1809,2002,178991,190282,226088,160495,24.700001,-15.58,27.629999,-29.92
1810,2002,298526,313923,309596,337647,6.3699999,10,15.3,29.51
1902,2002,538567,560299,574647,504401,27.99,-8.9499998,-1.99,17.43
1903,2002,260766,304628,260100,273432,8.8199997,2.3399999,3.8299999,3.25
1904,2002,1835670,2142999,2005421,2167215,-23.219999,1.0700001,1.37,22.59
1905,2002,659521,644859,694324,615953,-0.25999999,-11.04,-4.6799998,-7.96
1906,2002,198336,214765,148989,30934,-25.4,-0.63,-27.93,-44.279999
1907,2002,2255279,2549886,2545570,2631250,0.47999999,-1.01,0.56999999,8.2399998
1909,2002,582779,663240,596623,637484,3.6600001,3.52,-8.25,11.66
2002,2002,10538023,12591090,13035910,13748320,8.6099997,10.47,7.21,7
2006,2002,1922561,2005285,2231322,2395761,-0.49000001,-16.360001,8,5.8200002
2007,2002,682898,817070,825344,841883,16.52,2.8399999,5.6900001,8.1999998
2008,2002,826654,942370,1209139,1102900,27.139999,-8.9899998,25.24,-12.49
2009,2002,289538,411846,368635,368421,13.22,12.31,-4.0300002,8.1999998
2010,2002,1112602,1362185,1359086,1206535,-29.440001,0.89999998,0.01,-9.6599998
2012,2002,398196,416106,452527,406400,4.2800002,-6.3299999,20.5,-11.39
2013,2002,625077,655603,750989,870741,-26.84,3.6099999,13.73,-6.1999998
2014,2002,2193609,3173202,3191994,3332297,3.25,9.3000002,-16.25,3.98
2015,2002,1426383,1660111,1601068,1973523,16.25,-7.1599998,-3.52,24.719999
2017,2002,486192,557265,658704,602484,-5.9299998,5.9499998,50.209999,0.18000001
2020,2002,315599,364986,320355,332389,-0.61000001,-10.16,2.3099999,4.1399999
2022,2002,220181,266826,186261,229523,46.009998,-20.98,-34.330002,49.150002
2023,2002,2237346,2450743,2799647,3152755,0,8.1499996,9.8000002,4.8299999
2024,2002,123344,152276,164758,139765,5.6599998,-3.5599999,21.280001,-10.13
2025,2002,426623,581693,597264,496809,69.510002,15.19,-21.91,9.8500004
2027,2002,372716,462925,472048,448044,17.940001,-7.4200001,9.9399996,-8.3000002
2028,2002,467616,494558,482471,626145,14.43,-13.62,17.33,7.6500001
2029,2002,1397984,1505881,1673168,2074588,-0.23999999,-1.97,17.6,-3.25
2030,2002,280609,341607,307556,386899,14.04,7.9400001,-17.41,14.57
2031,2002,450542,527512,530238,532610,34.98,-1.5,1.08,22
2032,2002,235932,302027,212655,259289,21.25,13.29,-12.17,25.360001
2033,2002,108442,126648,124070,133334,8.04,-1.9,-2.1500001,0.52999997
2034,2002,323581,436616,366718,397345,-0.23999999,10.54,1.99,0.81999999
2101,2002,490395,599144,560412,548266,11.7,-1.74,-5.3499999,-12.72
2102,2002,392003,433979,490023,466745,4.3899999,-9.5100002,12.21,-10.14
2103,2002,618016,716760,745838,754437,8.9099998,-12.41,14.91,23.6
2104,2002,290735,310297,281283,301107,4.52,1.89,1.77,1.76
2105,2002,1028830,1204445,1179696,1248698,-5.71,-10.35,0.14,6.54
2106,2002,325463,399552,378917,404836,1.01,4.29,-5.8600001,-3.1900001
2107,2002,127924,174202,265817,126947,-14.36,15.97,-10.2,-79.879997
2108,2002,273121,290474,283640,329250,1.15,1.58,7.0500002,20.389999
2109,2002,226155,283105,258602,268199,8.6099997,0.44999999,-9.0100002,12.95
2201,2002,5326716,4436489,4123769,3793233,643.53003,-12.51,1.41,-3.8499999
2204,2002,6311797,6826647,6471842,7774875,136.81,7.1900001,8.8400002,-2.5899999
2206,2002,1564962,2095493,2056928,1853362,12.39,26.58,3.96,6.54
2207,2002,6770680,8998174,6359567,8027916,163.46001,19.719999,-5.6599998,53.790001
2301,2002,5068410,4829021,4614384,9843067,-7.6799998,-7.3000002,-2.1900001,8.2700005
2302,2002,78640,32918,102489,92129,-12.05,23.18,239.69,12.7
2303,2002,6079420,9290244,9576296,8766913,-9.1499996,15.19,0.2,0.20999999
2305,2002,1053423,945949,878068,751230,8.21,9.71,-2.4200001,19.969999
2308,2002,2856377,3136425,4401771,5623753,7.4200001,13.08,2.02,3.73
2311,2002,3023219,3009940,3206643,3590700,-0.16,1.03,10.71,14.09
2312,2002,1510563,1482999,1998258,1687940,-38.470001,-46.09,-28.65,-24.91
2313,2002,1560120,1877945,1944010,1999439,-9.96,14.42,1.5,3.5999999
2314,2002,369965,442710,501284,519035,-30.049999,-1.11,-4.5100002,-19.49
2315,2002,2343831,3075133,2796446,4353684,0.5,1.17,-7.4099998,43.950001
2316,2002,598048,692353,714822,718049,-17.389999,5.1100001,1.49,6.5799999
2317,2002,21381788,28786772,32033708,40298925,-14.66,6.21,-1.1,3.8399999
2318,2002,95665,86967,102747,78648,-12.04,-17.49,28.450001,-19.67
2319,2002,5499569,5006849,4024822,5181544,0.2,-23.57,-32.849998,13.7
2321,2002,877540,1044859,1165262,1181057,-21.49,-7.23,2.1500001,-8.4499998
2323,2002,2187189,2637540,2139916,2290155,-0.66000003,6.6799998,-20.82,2.04
2324,2002,12077387,14214802,14012858,17904940,1.1799999,16.719999,1.7,28.77
2325,2002,2625810,2698985,2755238,3069233,3.27,-8.1000004,-5.5,10.23
2326,2002,63872,54967,95329,92726,-66.959999,-69.900002,-37.209999,-32.509998
2327,2002,1084596,1208353,1052440,1085020,78.739998,6.7800002,-2.25,13.29
2328,2002,293205,363170,427109,512369,-34.290001,19.77,9.7399998,17.299999
2329,2002,1209045,1711354,1830110,1635103,-6.2800002,20.4,14.2,-1.51
2330,2002,17894858,22091228,19917509,20545572,2.6500001,8.8699999,-13.31,19.41
2331,2002,7996373,7758664,7965326,8723810,51.240002,-13.54,-11.16,-3.1400001
2332,2002,2017371,1814578,2079462,2334380,20.639999,-12.05,2.53,-0.13
2333,2002,403698,391274,419795,418130,-9.6800003,-1.8099999,41.299999,-10.78
2335,2002,128422,146525,129664,155398,14.66,3.4400001,4.5700002,12.93
2336,2002,1275207,1290130,1290598,1651996,0.69,-13.25,-12.84,7.6199999
2337,2002,1416230,1957597,2352777,2343617,11.1,20.4,-4.0799999,12.4
2338,2002,336170,388298,377273,333633,4.29,7.1199999,-1.21,-2.3399999
2340,2002,577340,621011,586409,661726,54.139999,-21.73,-1.98,12
2341,2002,1604630,922233,1024780,1834588,-18.049999,-23.82,40.09,50.93
2342,2002,1588510,1214568,1085068,1895770,56.610001,3.4300001,-3.26,28.15
2343,2002,1093155,1114586,1091521,1224845,-16.549999,-10.23,-21.09,-18.129999
2344,2002,4066253,3857755,3883359,4237368,29.76,3.9400001,2.3299999,7.9499998
2345,2002,2141562,1959029,2014140,2163978,-0.2,-1.23,5.0900002,0.33000001
2347,2002,6367740,6478820,7111156,7847524,-2.26,-3.8,19.389999,10.59
2348,2002,659411,637697,679704,329416,20.459999,-4.9400001,22.52,-23.42
2349,2002,2360777,2765461,2161174,2629656,0.47,3.4000001,-12.43,27.469999
2350,2002,3472069,3571496,3292306,3822365,11.35,-17.18,-25.57,-15.58
2351,2002,225757,283140,252482,251633,6.9699998,11.77,-0.14,-4.71
2352,2002,11732103,11299925,10746641,12828525,-2.29,-13.44,1.0599999,7.8299999
2353,2002,3001954,5472002,5715387,8549411,-5.7800002,21.77,-7.3499999,29.01
2354,2002,2053385,1164965,728006,1177221,37.360001,11.95,21.27,164.49001
2355,2002,557869,641471,680324,660880,20.83,4.8600001,16.09,4.1399999
2356,2002,7708341,9129339,7651642,9671403,-11,-14.93,-31.059999,-9.6400003
2357,2002,10174087,9206880,10881471,11018821,6.8400002,-9.3599997,23.120001,18.469999
2358,2002,314482,347490,427450,388379,-13.75,-20.75,50.389999,-8.3999996
2359,2002,578582,533738,547819,637554,-10.44,-31.129999,-9.6700001,2.1500001
2360,2002,333361,453293,467777,545580,-3.52,22.76,-8.2399998,9.5200005
2361,2002,491573,477441,375536,598327,21.01,-12.98,4.1900001,62.779999
2362,2002,948570,1139283,1298091,1215990,-16.049999,20.1,23.040001,-7
2363,2002,1805004,1631060,2037045,2445081,40.23,-5.1999998,10.39,8.1700001
2364,2002,338238,643052,824784,998858,5.6799998,38.330002,-17.75,13.4
2365,2002,850839,689832,971510,1190025,9.3400002,-18.91,29.59,17.24
2366,2002,1976559,2385149,1509809,1819938,20.639999,6.0599999,-29.530001,9.1999998
2367,2002,595521,718690,735105,774532,25.190001,6.1100001,-1.99,5.1700001
2368,2002,715070,770125,606157,555247,2.4000001,-2.8299999,16.25,126.38
2369,2002,309346,406802,338088,407468,-34.34,10.32,-5.73,13.27
2370,2002,210051,232648,225775,227723,3.9300001,10.16,-2.5,1.25
2371,2002,8795122,6185661,6984112,11383025,5.5300002,5.9000001,28.299999,50.279999
2373,2002,1285046,1108354,944985,1004869,-11.4,-11.14,-9.5900002,5.8899999
2374,2002,283090,362893,252522,331674,4.0999999,12.79,-17.690001,41
2375,2002,120007,181320,184076,147858,38.52,33.880001,13.37,-16.219999
2376,2002,3765022,3031956,3628820,4678087,8.0600004,-12.97,7.0900002,19.34
2377,2002,6507148,6267124,7192160,8294165,-6.1599998,-9.8900003,19.9,29.76
2378,2002,116296,150252,210162,153811,15.02,31.68,66.809998,-23.16
2379,2002,1139522,1006797,1179044,1254042,36.900002,-5.6399999,16.76,5.79
2380,2002,360337,396668,357732,586571,-4.6599998,13,-3.96,64.32
2381,2002,6151031,5346439,7268776,8826981,8.5799999,-26.07,45.009998,59.540001
2382,2002,17195733,16755940,14918716,22286870,-10.68,-18.059999,-12.33,27.16
2383,2002,162081,172404,156432,166342,20.48,3.8699999,24.07,47.279999
2384,2002,668685,870804,1016660,1459349,46.959999,9.1199999,7.6599998,21.43
2385,2002,652255,688181,806190,1086485,2.4200001,-12.29,1.28,13.24
2386,2002,2743279,3051682,2893041,3737245,-8.2399998,9.9399996,-10.76,3.3199999
2387,2002,201635,269902,263520,280099,0.67000002,18.41,4.54,24.280001
2388,2002,3672695,2643102,2928411,3355738,18.530001,-12.11,18.469999,19.889999
2389,2002,242595,250056,260892,256063,69.389999,11.74,-6.29,-6.52
2390,2002,254649,229463,222805,194011,6.2600002,-11.26,-7.3099999,-32.759998
2391,2002,502899,709571,589806,924971,27.200001,17.879999,-29.690001,23.01
2392,2002,1370124,1238279,1254717,1442954,-23.82,-0.83999997,2.6400001,9.0500002
2393,2002,368982,499895,492556,574516,11.28,17.110001,2.2,11.35
2394,2002,1230645,1902293,2024038,2329168,-4.23,20.34,5.8099999,9.2600002
2395,2002,695037,765631,848798,929960,12.71,1.02,6.29,7.6599998
2396,2002,755952,802784,801254,790188,-9.6700001,4.0599999,-1.67,-0.81999999
2397,2002,559785,387510,433835,514716,-17.75,-1.47,-2.9000001,26.040001
2398,2002,940391,1003352,575436,716827,-11.2,5.4299998,-37.700001,18.82
2399,2002,613403,516538,570037,748116,25.59,-11.76,-15.83,-2.1900001
2401,2002,836855,1139951,1269536,1071615,-9.21,13.66,2.3399999,-15.13
2402,2002,144346,161764,163354,250144,6.4699998,-4.5799999,8.9899998,36.32
2403,2002,2415667,2270579,2486070,2623745,49.889999,-7.6900001,23.200001,13.98
2404,2002,378021,840446,1464943,1153004,-44.450001,41.09,10.53,-6.8499999
2405,2002,665884,517847,665420,767715,8,-26.389999,0.62,0.93000001
2406,2002,184575,192305,187130,313677,-17.67,1.95,-2.8900001,36.400002
2407,2002,885039,742805,938101,647391,-17.98,-13.76,23.85,7.7600002
2408,2002,3887415,2789532,3939180,4405653,36.200001,-12.18,37.66,20.360001
2409,2002,9874536,11335549,8561526,8008819,14.55,5.8400002,-17.290001,5.9099998
2410,2002,80048,116807,119198,423099,38.849998,-7.29,-28.059999,73
2411,2002,379440,318727,312288,398461,-13.69,-12.04,-4.4899998,3.5899999
2412,2002,21238014,21894579,22841309,22070605,0.68000001,13.44,-0.85000002,-4.8200002
2413,2002,194140,261192,247870,222470,-4.0700002,3.9300001,-1.04,2.8800001
2414,2002,814733,916030,1063261,1265556,-14.43,4.8699999,18.23,6.0700002
2415,2002,110676,122117,112439,106454,-1.25,-5.8299999,10.35,-13.24
2416,2002,3082261,2911411,3764590,3793560,62.810001,-5.3299999,46.23,13.9
2417,2002,164122,143949,139268,213543,-3.0799999,-28.209999,-0.07,6.1799998
2418,2002,862490,1224210,1664393,1767527,-12.21,14.34,11.2,2.6400001
2419,2002,282304,301468,399635,521175,-53.98,-56.419998,-11.24,-17.190001
2420,2002,191391,235411,253582,242818,5.21,-2.23,7.6599998,-14.46
